MODULE;FUNCTION
llvm/lib/Analysis/AliasAnalysis.cpp;_ZN4llvm13isNoAliasCallEPKNS_5ValueE
llvm/lib/Analysis/CFG.cpp;_ZN4llvm10succ_emptyEPKNS_10BasicBlockE
llvm/lib/Analysis/ConstantFolding.cpp;_ZN4llvm11GlobalAlias7classofEPKNS_5ValueE
llvm/lib/Analysis/InstructionSimplify.cpp;_ZL12isUndefShiftPN4llvm5ValueE
llvm/lib/Analysis/LoopInfo.cpp;_ZNK4llvm4Loop18isLoopSimplifyFormEv
llvm/lib/Analysis/MemoryBuiltins.cpp;_ZN4llvm17isLibFreeFunctionEPKNS_8FunctionENS_7LibFuncE
llvm/lib/Analysis/MemorySSA.cpp;_ZN12_GLOBAL__N_113ClobberWalkerIN4llvm14BatchAAResultsEE17getBlockingAccessEPKNS1_12MemoryAccessERNS1_15SmallVectorImplIjEES9_RNS7_INS3_14TerminatedPathEEE
llvm/lib/Analysis/ScalarEvolution.cpp;_ZN4llvm15ScalarEvolution18getLoopDispositionEPKNS_4SCEVEPKNS_4LoopE
llvm/lib/Analysis/TargetLibraryInfo.cpp;_ZL20sanitizeFunctionNameN4llvm9StringRefE
llvm/lib/Analysis/ValueTracking.cpp;_ZL13isMatchingOpsPKN4llvm5ValueES2_S2_S2_Rb
llvm/lib/Transforms/InstCombine/InstructionCombining.cpp;_ZN4llvm19InstCombineWorklist9RemoveOneEv
llvm/lib/Transforms/IPO/InlineSimple.cpp;_ZN12_GLOBAL__N_113SimpleInlinerC2EN4llvm12InlineParamsE
llvm/lib/Transforms/Scalar/EarlyCSE.cpp;_ZN12_GLOBAL__N_18EarlyCSE11processNodeEPN4llvm15DomTreeNodeBaseINS1_10BasicBlockEEE
llvm/lib/Transforms/Scalar/LoopUnswitch.cpp;_ZNK12_GLOBAL__N_112LoopUnswitch16getAnalysisUsageERN4llvm13AnalysisUsageE
llvm/lib/Transforms/Scalar/SCCP.cpp;_ZN12_GLOBAL__N_110LatticeVal12markConstantEPN4llvm8ConstantE
llvm/lib/Transforms/Scalar/SROA.cpp;_ZN4llvm11InstVisitorINS_4sroa19AllocaSliceRewriterEbE16delegateCallInstERNS_8CallInstE
llvm/lib/Transforms/Utils/BasicBlockUtils.cpp;_ZN4llvm11Instruction23isExceptionalTerminatorEj
llvm/lib/Transforms/Utils/GlobalStatus.cpp;_ZN4llvm12GlobalStatus13analyzeGlobalEPKNS_5ValueERS0_
llvm/lib/Transforms/Utils/Local.cpp;_ZL31CanPropagatePredecessorsForPHIsPN4llvm10BasicBlockES1_
llvm/lib/Transforms/Utils/SimplifyCFG.cpp;_ZL22ComputeSpeculationCostPKN4llvm4UserERKNS_19TargetTransformInfoE
